model num,web,"theta(0,0)","theta(0,1)","theta(0,2)","theta(0,3)","theta(1,0)","theta(1,1)","theta(1,2)","theta(1,3)",fibers,seed,iso
38,2.179863739,174.7425784,174.7425784,174.7425784,174.7425784,174.7425784,174.7425784,174.7425784,174.7425784,TRUE,0.5,0.5
39,1.693184542,0.42266756,0.42266756,0.42266756,0.42266756,0.42266756,0.42266756,0.42266756,0.42266756,TRUE,0.5,0.5
40,2.001115984,33.26741894,33.26741894,33.26741894,33.26741894,33.26741894,33.26741894,33.26741894,33.26741894,TRUE,0.5,0.5
41,1.850538692,167.6447475,167.6447475,167.6447475,167.6447475,167.6447475,167.6447475,167.6447475,167.6447475,TRUE,0.5,0.5
42,2.599282061,33.73329058,33.73329058,33.73329058,33.73329058,33.73329058,33.73329058,33.73329058,33.73329058,TRUE,0.5,0.5
43,1.777075627,19.1242843,19.1242843,19.1242843,19.1242843,19.1242843,19.1242843,19.1242843,19.1242843,TRUE,0.5,0.5
44,2.505381779,161.0232936,161.0232936,161.0232936,161.0232936,161.0232936,161.0232936,161.0232936,161.0232936,TRUE,0.5,0.5
45,1.48856036,45.72567486,45.72567486,45.72567486,45.72567486,45.72567486,45.72567486,45.72567486,45.72567486,TRUE,0.5,0.5
46,1.122583511,130.3722911,130.3722911,130.3722911,130.3722911,130.3722911,130.3722911,130.3722911,130.3722911,TRUE,0.5,0.5
47,1.818970611,58.3327833,58.3327833,58.3327833,58.3327833,58.3327833,58.3327833,58.3327833,58.3327833,TRUE,0.5,0.5
48,2.930411536,44.16026434,44.16026434,44.16026434,44.16026434,44.16026434,44.16026434,44.16026434,44.16026434,TRUE,0.5,0.5
49,2.742181234,165.7869804,165.7869804,165.7869804,165.7869804,165.7869804,165.7869804,165.7869804,165.7869804,TRUE,0.5,0.5
50,1.842868178,17.30496355,17.30496355,17.30496355,17.30496355,17.30496355,17.30496355,17.30496355,17.30496355,TRUE,0.5,0.5
51,1.397984505,55.09171648,55.09171648,55.09171648,55.09171648,55.09171648,55.09171648,55.09171648,55.09171648,TRUE,0.5,0.5
52,1.568406418,23.33253881,23.33253881,23.33253881,23.33253881,23.33253881,23.33253881,23.33253881,23.33253881,TRUE,0.5,0.5
53,1.593850487,11.10138421,11.10138421,11.10138421,11.10138421,11.10138421,11.10138421,11.10138421,11.10138421,TRUE,0.5,0.5
54,1.794312541,178.2978136,178.2978136,178.2978136,178.2978136,178.2978136,178.2978136,178.2978136,178.2978136,TRUE,0.5,0.5
55,1.050350581,36.69542124,36.69542124,36.69542124,36.69542124,36.69542124,36.69542124,36.69542124,36.69542124,TRUE,0.5,0.5
56,2.658968616,100.528357,100.528357,100.528357,100.528357,100.528357,100.528357,100.528357,100.528357,TRUE,0.5,0.5
57,2.522540854,4.651879832,4.651879832,4.651879832,4.651879832,4.651879832,4.651879832,4.651879832,4.651879832,TRUE,0.5,0.5
58,2.340599987,26.28000026,26.28000026,26.28000026,26.28000026,26.28000026,26.28000026,26.28000026,26.28000026,TRUE,0.5,0.5
59,1.530626506,119.0466338,119.0466338,119.0466338,119.0466338,119.0466338,119.0466338,119.0466338,119.0466338,TRUE,0.5,0.5
60,1.096427569,165.0573393,165.0573393,165.0573393,165.0573393,165.0573393,165.0573393,165.0573393,165.0573393,TRUE,0.5,0.5
61,2.994693973,71.69543529,71.69543529,71.69543529,71.69543529,71.69543529,71.69543529,71.69543529,71.69543529,TRUE,0.5,0.5
62,2.445618701,111.4002561,111.4002561,111.4002561,111.4002561,111.4002561,111.4002561,111.4002561,111.4002561,TRUE,0.5,0.5
63,2.354795095,135.031638,135.031638,135.031638,135.031638,135.031638,135.031638,135.031638,135.031638,TRUE,0.5,0.5
64,2.43411131,67.87134315,67.87134315,67.87134315,67.87134315,67.87134315,67.87134315,67.87134315,67.87134315,TRUE,0.5,0.5
65,1.215133983,11.95851849,11.95851849,11.95851849,11.95851849,11.95851849,11.95851849,11.95851849,11.95851849,TRUE,0.5,0.5
66,2.98312358,99.83082492,99.83082492,99.83082492,99.83082492,99.83082492,99.83082492,99.83082492,99.83082492,TRUE,0.5,0.5
67,2.800419296,137.1415513,137.1415513,137.1415513,137.1415513,137.1415513,137.1415513,137.1415513,137.1415513,TRUE,0.5,0.5
68,1.900847498,140.7113471,140.7113471,140.7113471,140.7113471,140.7113471,140.7113471,140.7113471,140.7113471,TRUE,0.5,0.5
69,1.085834814,10.06149687,10.06149687,10.06149687,10.06149687,10.06149687,10.06149687,10.06149687,10.06149687,TRUE,0.5,0.5
70,2.043736012,98.51239637,98.51239637,98.51239637,98.51239637,98.51239637,98.51239637,98.51239637,98.51239637,TRUE,0.5,0.5
71,1.370455691,38.38307852,38.38307852,38.38307852,38.38307852,38.38307852,38.38307852,38.38307852,38.38307852,TRUE,0.5,0.5
72,2.374567705,1.226026374,1.226026374,1.226026374,1.226026374,1.226026374,1.226026374,1.226026374,1.226026374,TRUE,0.5,0.5
73,1.89221211,20.9746742,20.9746742,20.9746742,20.9746742,20.9746742,20.9746742,20.9746742,20.9746742,TRUE,0.5,0.5
74,1.331183254,134.5338721,134.5338721,134.5338721,134.5338721,134.5338721,134.5338721,134.5338721,134.5338721,TRUE,0.5,0.5
75,1.87119782,173.3435914,173.3435914,173.3435914,173.3435914,173.3435914,173.3435914,173.3435914,173.3435914,TRUE,0.5,0.5
76,2.537605148,153.1763888,153.1763888,153.1763888,153.1763888,153.1763888,153.1763888,153.1763888,153.1763888,TRUE,0.5,0.5
77,2.184585767,116.3064506,116.3064506,116.3064506,116.3064506,116.3064506,116.3064506,116.3064506,116.3064506,TRUE,0.5,0.5
78,1.60087364,41.41177736,41.41177736,41.41177736,41.41177736,41.41177736,41.41177736,41.41177736,41.41177736,TRUE,0.5,0.5
79,2.059972879,148.5188016,148.5188016,148.5188016,148.5188016,148.5188016,148.5188016,148.5188016,148.5188016,TRUE,0.5,0.5
80,1.62767253,133.4014413,133.4014413,133.4014413,133.4014413,133.4014413,133.4014413,133.4014413,133.4014413,TRUE,0.5,0.5
81,2.416352778,75.92392759,75.92392759,75.92392759,75.92392759,75.92392759,75.92392759,75.92392759,75.92392759,TRUE,0.5,0.5
82,1.493904604,156.026909,156.026909,156.026909,156.026909,156.026909,156.026909,156.026909,156.026909,TRUE,0.5,0.5
83,2.361033972,146.7797501,146.7797501,146.7797501,146.7797501,146.7797501,146.7797501,146.7797501,146.7797501,TRUE,0.5,0.5
84,2.496042758,109.8700747,109.8700747,109.8700747,109.8700747,109.8700747,109.8700747,109.8700747,109.8700747,TRUE,0.5,0.5
85,2.771015258,177.9055521,177.9055521,177.9055521,177.9055521,177.9055521,177.9055521,177.9055521,177.9055521,TRUE,0.5,0.5
86,2.42185829,131.4042333,131.4042333,131.4042333,131.4042333,131.4042333,131.4042333,131.4042333,131.4042333,TRUE,0.5,0.5
87,2.034124115,51.19157157,51.19157157,51.19157157,51.19157157,51.19157157,51.19157157,51.19157157,51.19157157,TRUE,0.5,0.5
88,1.657166239,123.4474452,123.4474452,123.4474452,123.4474452,123.4474452,123.4474452,123.4474452,123.4474452,TRUE,0.5,0.5
89,2.32254115,20.43459929,20.43459929,20.43459929,20.43459929,20.43459929,20.43459929,20.43459929,20.43459929,TRUE,0.5,0.5
90,2.791421962,61.77826343,61.77826343,61.77826343,61.77826343,61.77826343,61.77826343,61.77826343,61.77826343,TRUE,0.5,0.5
91,1.1733912,107.5445907,107.5445907,107.5445907,107.5445907,107.5445907,107.5445907,107.5445907,107.5445907,TRUE,0.5,0.5
92,2.123649256,161.5002651,161.5002651,161.5002651,161.5002651,161.5002651,161.5002651,161.5002651,161.5002651,TRUE,0.5,0.5
93,1.575783125,30.12487605,30.12487605,30.12487605,30.12487605,30.12487605,30.12487605,30.12487605,30.12487605,TRUE,0.5,0.5
94,2.881391379,150.8408816,150.8408816,150.8408816,150.8408816,150.8408816,150.8408816,150.8408816,150.8408816,TRUE,0.5,0.5
95,2.817561338,107.0739679,107.0739679,107.0739679,107.0739679,107.0739679,107.0739679,107.0739679,107.0739679,TRUE,0.5,0.5
96,2.665877304,126.7552903,126.7552903,126.7552903,126.7552903,126.7552903,126.7552903,126.7552903,126.7552903,TRUE,0.5,0.5
97,1.555631882,8.576138856,8.576138856,8.576138856,8.576138856,8.576138856,8.576138856,8.576138856,8.576138856,TRUE,0.5,0.5
98,2.695440286,174.5082491,174.5082491,174.5082491,174.5082491,174.5082491,174.5082491,174.5082491,174.5082491,TRUE,0.5,0.5
99,2.518197999,122.0968875,122.0968875,122.0968875,122.0968875,122.0968875,122.0968875,122.0968875,122.0968875,TRUE,0.5,0.5
100,1.028265587,170.8819834,170.8819834,170.8819834,170.8819834,170.8819834,170.8819834,170.8819834,170.8819834,TRUE,0.5,0.5
101,1.453284094,155.4725686,155.4725686,155.4725686,155.4725686,155.4725686,155.4725686,155.4725686,155.4725686,TRUE,0.5,0.5
102,2.739095107,44.0929024,44.0929024,44.0929024,44.0929024,44.0929024,44.0929024,44.0929024,44.0929024,TRUE,0.5,0.5
103,2.68715644,97.17440538,97.17440538,97.17440538,97.17440538,97.17440538,97.17440538,97.17440538,97.17440538,TRUE,0.5,0.5
104,1.716310987,82.97529862,82.97529862,82.97529862,82.97529862,82.97529862,82.97529862,82.97529862,82.97529862,TRUE,0.5,0.5
105,1.01015291,150.2870832,150.2870832,150.2870832,150.2870832,150.2870832,150.2870832,150.2870832,150.2870832,TRUE,0.5,0.5
106,2.940816831,40.15910804,40.15910804,40.15910804,40.15910804,40.15910804,40.15910804,40.15910804,40.15910804,TRUE,0.5,0.5
107,2.227675521,64.13596471,64.13596471,64.13596471,64.13596471,64.13596471,64.13596471,64.13596471,64.13596471,TRUE,0.5,0.5
108,1.20509335,172.7061502,172.7061502,172.7061502,172.7061502,172.7061502,172.7061502,172.7061502,172.7061502,TRUE,0.5,0.5
109,1.245358833,147.6585646,147.6585646,147.6585646,147.6585646,147.6585646,147.6585646,147.6585646,147.6585646,TRUE,0.5,0.5
110,2.024821645,80.75468402,80.75468402,80.75468402,80.75468402,80.75468402,80.75468402,80.75468402,80.75468402,TRUE,0.5,0.5
111,2.017891075,176.1459845,176.1459845,176.1459845,176.1459845,176.1459845,176.1459845,176.1459845,176.1459845,TRUE,0.5,0.5
112,2.719780157,108.8176494,108.8176494,108.8176494,108.8176494,108.8176494,108.8176494,108.8176494,108.8176494,TRUE,0.5,0.5
113,2.625377991,46.4122382,46.4122382,46.4122382,46.4122382,46.4122382,46.4122382,46.4122382,46.4122382,TRUE,0.5,0.5
114,2.218290868,121.4401624,121.4401624,121.4401624,121.4401624,121.4401624,121.4401624,121.4401624,121.4401624,TRUE,0.5,0.5
115,2.610621057,18.19557513,18.19557513,18.19557513,18.19557513,18.19557513,18.19557513,18.19557513,18.19557513,TRUE,0.5,0.5
116,1.067535206,158.2745364,158.2745364,158.2745364,158.2745364,158.2745364,158.2745364,158.2745364,158.2745364,TRUE,0.5,0.5
117,2.922010979,168.786421,168.786421,168.786421,168.786421,168.786421,168.786421,168.786421,168.786421,TRUE,0.5,0.5
118,1.260440937,3.18799284,3.18799284,3.18799284,3.18799284,3.18799284,3.18799284,3.18799284,3.18799284,TRUE,0.5,0.5
119,2.477577695,127.4016178,127.4016178,127.4016178,127.4016178,127.4016178,127.4016178,127.4016178,127.4016178,TRUE,0.5,0.5
120,2.385757451,70.77654881,70.77654881,70.77654881,70.77654881,70.77654881,70.77654881,70.77654881,70.77654881,TRUE,0.5,0.5
121,2.916941157,142.8465909,142.8465909,142.8465909,142.8465909,142.8465909,142.8465909,142.8465909,142.8465909,TRUE,0.5,0.5
122,1.278892445,128.564134,128.564134,128.564134,128.564134,128.564134,128.564134,128.564134,128.564134,TRUE,0.5,0.5
123,2.112687511,120.4622725,120.4622725,120.4622725,120.4622725,120.4622725,120.4622725,120.4622725,120.4622725,TRUE,0.5,0.5
124,2.822344647,76.90956336,76.90956336,76.90956336,76.90956336,76.90956336,76.90956336,76.90956336,76.90956336,TRUE,0.5,0.5
125,2.27328801,78.31410597,78.31410597,78.31410597,78.31410597,78.31410597,78.31410597,78.31410597,78.31410597,TRUE,0.5,0.5
126,1.679725037,82.53566294,82.53566294,82.53566294,82.53566294,82.53566294,82.53566294,82.53566294,82.53566294,TRUE,0.5,0.5
127,1.942658244,32.05411885,32.05411885,32.05411885,32.05411885,32.05411885,32.05411885,32.05411885,32.05411885,TRUE,0.5,0.5
128,2.832302212,70.04003386,70.04003386,70.04003386,70.04003386,70.04003386,70.04003386,70.04003386,70.04003386,TRUE,0.5,0.5
129,2.099485847,78.05602344,78.05602344,78.05602344,78.05602344,78.05602344,78.05602344,78.05602344,78.05602344,TRUE,0.5,0.5
130,2.190663469,102.8205128,102.8205128,102.8205128,102.8205128,102.8205128,102.8205128,102.8205128,102.8205128,TRUE,0.5,0.5
131,2.864983599,143.9500405,143.9500405,143.9500405,143.9500405,143.9500405,143.9500405,143.9500405,143.9500405,TRUE,0.5,0.5
132,2.674818027,73.44724357,73.44724357,73.44724357,73.44724357,73.44724357,73.44724357,73.44724357,73.44724357,TRUE,0.5,0.5
133,2.458027666,122.412588,122.412588,122.412588,122.412588,122.412588,122.412588,122.412588,122.412588,TRUE,0.5,0.5
134,1.403142153,37.46211788,37.46211788,37.46211788,37.46211788,37.46211788,37.46211788,37.46211788,37.46211788,TRUE,0.5,0.5
135,2.200116557,21.86429692,21.86429692,21.86429692,21.86429692,21.86429692,21.86429692,21.86429692,21.86429692,TRUE,0.5,0.5
136,1.430077083,67.4260309,67.4260309,67.4260309,67.4260309,67.4260309,67.4260309,67.4260309,67.4260309,TRUE,0.5,0.5
137,2.166687636,59.3179146,59.3179146,59.3179146,59.3179146,59.3179146,59.3179146,59.3179146,59.3179146,TRUE,0.5,0.5
138,1.182952575,163.0217182,163.0217182,163.0217182,163.0217182,163.0217182,163.0217182,163.0217182,163.0217182,TRUE,0.5,0.5
139,1.950250845,179.1062778,179.1062778,179.1062778,179.1062778,179.1062778,179.1062778,179.1062778,179.1062778,TRUE,0.5,0.5
140,1.741464996,9.660015361,9.660015361,9.660015361,9.660015361,9.660015361,9.660015361,9.660015361,9.660015361,TRUE,0.5,0.5
141,1.421031356,72.60260498,72.60260498,72.60260498,72.60260498,72.60260498,72.60260498,72.60260498,72.60260498,TRUE,0.5,0.5
142,1.511021715,6.31569727,6.31569727,6.31569727,6.31569727,6.31569727,6.31569727,6.31569727,6.31569727,TRUE,0.5,0.5
143,1.253561447,88.40502526,88.40502526,88.40502526,88.40502526,88.40502526,88.40502526,88.40502526,88.40502526,TRUE,0.5,0.5
144,2.909613211,144.9479078,144.9479078,144.9479078,144.9479078,144.9479078,144.9479078,144.9479078,144.9479078,TRUE,0.5,0.5
145,1.112958415,130.793683,130.793683,130.793683,130.793683,130.793683,130.793683,130.793683,130.793683,TRUE,0.5,0.5
146,2.842501045,15.05705732,15.05705732,15.05705732,15.05705732,15.05705732,15.05705732,15.05705732,15.05705732,TRUE,0.5,0.5
147,2.46148553,125.3468897,125.3468897,125.3468897,125.3468897,125.3468897,125.3468897,125.3468897,125.3468897,TRUE,0.5,0.5
148,1.932751434,62.20624815,62.20624815,62.20624815,62.20624815,62.20624815,62.20624815,62.20624815,62.20624815,TRUE,0.5,0.5
149,1.311343879,35.96424657,35.96424657,35.96424657,35.96424657,35.96424657,35.96424657,35.96424657,35.96424657,TRUE,0.5,0.5
150,1.360268361,162.8031515,162.8031515,162.8031515,162.8031515,162.8031515,162.8031515,162.8031515,162.8031515,TRUE,0.5,0.5
151,1.036175023,39.58710085,39.58710085,39.58710085,39.58710085,39.58710085,39.58710085,39.58710085,39.58710085,TRUE,0.5,0.5
152,1.357947748,167.1106362,167.1106362,167.1106362,167.1106362,167.1106362,167.1106362,167.1106362,167.1106362,TRUE,0.5,0.5
153,1.143536017,81.75728102,81.75728102,81.75728102,81.75728102,81.75728102,81.75728102,81.75728102,81.75728102,TRUE,0.5,0.5
154,2.15202142,139.0827956,139.0827956,139.0827956,139.0827956,139.0827956,139.0827956,139.0827956,139.0827956,TRUE,0.5,0.5
155,1.295145998,51.30805035,51.30805035,51.30805035,51.30805035,51.30805035,51.30805035,51.30805035,51.30805035,TRUE,0.5,0.5
156,1.380584036,136.5143998,136.5143998,136.5143998,136.5143998,136.5143998,136.5143998,136.5143998,136.5143998,TRUE,0.5,0.5
157,1.76974535,114.4286698,114.4286698,114.4286698,114.4286698,114.4286698,114.4286698,114.4286698,114.4286698,TRUE,0.5,0.5
158,2.130667515,90.98802483,90.98802483,90.98802483,90.98802483,90.98802483,90.98802483,90.98802483,90.98802483,TRUE,0.5,0.5
159,2.241632339,101.3200406,101.3200406,101.3200406,101.3200406,101.3200406,101.3200406,101.3200406,101.3200406,TRUE,0.5,0.5
160,1.981927665,94.736936,94.736936,94.736936,94.736936,94.736936,94.736936,94.736936,94.736936,TRUE,0.5,0.5
161,1.612647182,159.5894234,159.5894234,159.5894234,159.5894234,159.5894234,159.5894234,159.5894234,159.5894234,TRUE,0.5,0.5
162,2.409323559,144.2135106,144.2135106,144.2135106,144.2135106,144.2135106,144.2135106,144.2135106,144.2135106,TRUE,0.5,0.5
163,2.578425186,154.3485513,154.3485513,154.3485513,154.3485513,154.3485513,154.3485513,154.3485513,154.3485513,TRUE,0.5,0.5
164,2.589823712,49.67931574,49.67931574,49.67931574,49.67931574,49.67931574,49.67931574,49.67931574,49.67931574,TRUE,0.5,0.5
165,2.708987294,112.6959826,112.6959826,112.6959826,112.6959826,112.6959826,112.6959826,112.6959826,112.6959826,TRUE,0.5,0.5
166,1.306999005,114.2876664,114.2876664,114.2876664,114.2876664,114.2876664,114.2876664,114.2876664,114.2876664,TRUE,0.5,0.5
167,2.552314439,156.9519807,156.9519807,156.9519807,156.9519807,156.9519807,156.9519807,156.9519807,156.9519807,TRUE,0.5,0.5
168,2.296512454,59.90316645,59.90316645,59.90316645,59.90316645,59.90316645,59.90316645,59.90316645,59.90316645,TRUE,0.5,0.5
169,2.109433729,5.977757528,5.977757528,5.977757528,5.977757528,5.977757528,5.977757528,5.977757528,5.977757528,TRUE,0.5,0.5
170,1.863617579,28.04514627,28.04514627,28.04514627,28.04514627,28.04514627,28.04514627,28.04514627,28.04514627,TRUE,0.5,0.5
171,2.258903693,34.22657851,34.22657851,34.22657851,34.22657851,34.22657851,34.22657851,34.22657851,34.22657851,TRUE,0.5,0.5
172,1.32216742,128.8573661,128.8573661,128.8573661,128.8573661,128.8573661,128.8573661,128.8573661,128.8573661,TRUE,0.5,0.5
173,1.961152736,56.25492494,56.25492494,56.25492494,56.25492494,56.25492494,56.25492494,56.25492494,56.25492494,TRUE,0.5,0.5
174,2.723774699,79.45540541,79.45540541,79.45540541,79.45540541,79.45540541,79.45540541,79.45540541,79.45540541,TRUE,0.5,0.5
175,2.231483928,92.44962515,92.44962515,92.44962515,92.44962515,92.44962515,92.44962515,92.44962515,92.44962515,TRUE,0.5,0.5
176,1.630406327,60.64615951,60.64615951,60.64615951,60.64615951,60.64615951,60.64615951,60.64615951,60.64615951,TRUE,0.5,0.5
177,1.197301949,146.3621077,146.3621077,146.3621077,146.3621077,146.3621077,146.3621077,146.3621077,146.3621077,TRUE,0.5,0.5
178,1.152833939,65.88961701,65.88961701,65.88961701,65.88961701,65.88961701,65.88961701,65.88961701,65.88961701,TRUE,0.5,0.5
179,1.521744429,102.236325,102.236325,102.236325,102.236325,102.236325,102.236325,102.236325,102.236325,TRUE,0.5,0.5
180,1.808312951,47.66511967,47.66511967,47.66511967,47.66511967,47.66511967,47.66511967,47.66511967,47.66511967,TRUE,0.5,0.5
181,1.109690258,42.57221858,42.57221858,42.57221858,42.57221858,42.57221858,42.57221858,42.57221858,42.57221858,TRUE,0.5,0.5
182,2.896635722,75.31069225,75.31069225,75.31069225,75.31069225,75.31069225,75.31069225,75.31069225,75.31069225,TRUE,0.5,0.5
183,2.146906882,54.39491301,54.39491301,54.39491301,54.39491301,54.39491301,54.39491301,54.39491301,54.39491301,TRUE,0.5,0.5
184,1.738103755,30.84324897,30.84324897,30.84324897,30.84324897,30.84324897,30.84324897,30.84324897,30.84324897,TRUE,0.5,0.5
185,1.922662085,25.34356144,25.34356144,25.34356144,25.34356144,25.34356144,25.34356144,25.34356144,25.34356144,TRUE,0.5,0.5
186,2.854410783,93.1217642,93.1217642,93.1217642,93.1217642,93.1217642,93.1217642,93.1217642,93.1217642,TRUE,0.5,0.5
187,2.754887177,27.4527058,27.4527058,27.4527058,27.4527058,27.4527058,27.4527058,27.4527058,27.4527058,TRUE,0.5,0.5
188,1.689923538,2.112017247,2.112017247,2.112017247,2.112017247,2.112017247,2.112017247,2.112017247,2.112017247,TRUE,0.5,0.5
189,2.28881826,141.6137363,141.6137363,141.6137363,141.6137363,141.6137363,141.6137363,141.6137363,141.6137363,TRUE,0.5,0.5
190,2.639874322,52.98227757,52.98227757,52.98227757,52.98227757,52.98227757,52.98227757,52.98227757,52.98227757,TRUE,0.5,0.5
191,2.975946507,103.7471192,103.7471192,103.7471192,103.7471192,103.7471192,103.7471192,103.7471192,103.7471192,TRUE,0.5,0.5
192,1.418343271,73.88896816,73.88896816,73.88896816,73.88896816,73.88896816,73.88896816,73.88896816,73.88896816,TRUE,0.5,0.5
193,2.396511135,158.7380808,158.7380808,158.7380808,158.7380808,158.7380808,158.7380808,158.7380808,158.7380808,TRUE,0.5,0.5
194,2.267754846,89.94696628,89.94696628,89.94696628,89.94696628,89.94696628,89.94696628,89.94696628,89.94696628,TRUE,0.5,0.5
195,2.072377264,117.5548004,117.5548004,117.5548004,117.5548004,117.5548004,117.5548004,117.5548004,117.5548004,TRUE,0.5,0.5
196,1.072479133,41.07940166,41.07940166,41.07940166,41.07940166,41.07940166,41.07940166,41.07940166,41.07940166,TRUE,0.5,0.5
197,2.879698569,111.9298632,111.9298632,111.9298632,111.9298632,111.9298632,111.9298632,111.9298632,111.9298632,TRUE,0.5,0.5
198,1.91158861,63.77972531,63.77972531,63.77972531,63.77972531,63.77972531,63.77972531,63.77972531,63.77972531,TRUE,0.5,0.5
199,2.95241015,84.69514053,84.69514053,84.69514053,84.69514053,84.69514053,84.69514053,84.69514053,84.69514053,TRUE,0.5,0.5
200,1.221292634,16.05135584,16.05135584,16.05135584,16.05135584,16.05135584,16.05135584,16.05135584,16.05135584,TRUE,0.5,0.5
201,1.589228976,53.85036782,53.85036782,53.85036782,53.85036782,53.85036782,53.85036782,53.85036782,53.85036782,TRUE,0.5,0.5
202,1.130482362,87.57031915,87.57031915,87.57031915,87.57031915,87.57031915,87.57031915,87.57031915,87.57031915,TRUE,0.5,0.5
203,2.544193551,104.4752924,104.4752924,104.4752924,104.4752924,104.4752924,104.4752924,104.4752924,104.4752924,TRUE,0.5,0.5
204,1.506182141,24.11418108,24.11418108,24.11418108,24.11418108,24.11418108,24.11418108,24.11418108,24.11418108,TRUE,0.5,0.5
205,1.466216555,169.7104994,169.7104994,169.7104994,169.7104994,169.7104994,169.7104994,169.7104994,169.7104994,TRUE,0.5,0.5
206,1.828605855,139.9075694,139.9075694,139.9075694,139.9075694,139.9075694,139.9075694,139.9075694,139.9075694,TRUE,0.5,0.5
207,1.993035742,137.9748537,137.9748537,137.9748537,137.9748537,137.9748537,137.9748537,137.9748537,137.9748537,TRUE,0.5,0.5
208,2.308291502,29.37752013,29.37752013,29.37752013,29.37752013,29.37752013,29.37752013,29.37752013,29.37752013,TRUE,0.5,0.5
209,1.974733874,49.47812595,49.47812595,49.47812595,49.47812595,49.47812595,49.47812595,49.47812595,49.47812595,TRUE,0.5,0.5
210,1.541179026,171.7162936,171.7162936,171.7162936,171.7162936,171.7162936,171.7162936,171.7162936,171.7162936,TRUE,0.5,0.5
211,1.669011873,105.7344034,105.7344034,105.7344034,105.7344034,105.7344034,105.7344034,105.7344034,105.7344034,TRUE,0.5,0.5
212,1.049784844,87.0917804,87.0917804,87.0917804,87.0917804,87.0917804,87.0917804,87.0917804,87.0917804,TRUE,0.5,0.5
213,1.28793142,118.0777198,118.0777198,118.0777198,118.0777198,118.0777198,118.0777198,118.0777198,118.0777198,TRUE,0.5,0.5
214,1.706789105,95.61992004,95.61992004,95.61992004,95.61992004,95.61992004,95.61992004,95.61992004,95.61992004,TRUE,0.5,0.5
215,1.786477942,97.96826314,97.96826314,97.96826314,97.96826314,97.96826314,97.96826314,97.96826314,97.96826314,TRUE,0.5,0.5
216,1.161844642,4.403566853,4.403566853,4.403566853,4.403566853,4.403566853,4.403566853,4.403566853,4.403566853,TRUE,0.5,0.5
217,1.724413449,12.68682362,12.68682362,12.68682362,12.68682362,12.68682362,12.68682362,12.68682362,12.68682362,TRUE,0.5,0.5
218,2.961234295,16.34104475,16.34104475,16.34104475,16.34104475,16.34104475,16.34104475,16.34104475,16.34104475,TRUE,0.5,0.5
219,1.756148519,132.9615798,132.9615798,132.9615798,132.9615798,132.9615798,132.9615798,132.9615798,132.9615798,TRUE,0.5,0.5
